2023/2024,EB Dr. António de Sousa Agostinho,,,7A,7ºANO
2023/2024,EB Dr. António de Sousa Agostinho,,,7B,7ºANO
2023/2024,EB Dr. António de Sousa Agostinho,,,7C,7ºANO
2023/2024,EB Dr. António de Sousa Agostinho,,,7D,7ºANO
2023/2024,EB Dr. António de Sousa Agostinho,,,7E,7ºANO
2023/2024,EB Dr. António de Sousa Agostinho,,,7F,7ºANO
2023/2024,EB Dr. António de Sousa Agostinho,,16611;16526;16337;16163;18614;16345;16364;16461;16567;17717;16534;16582;16411;18981;16565;16539;16601;16392;17122,8A,8ºANO
2023/2024,EB Dr. António de Sousa Agostinho,,16536;16608;16360;16589;16372;16566;16703;17080;17686;17068;16401;16571;16823;16559;16516;16324;16347;16573;16385;17031,8B,8ºANO
2023/2024,EB Dr. António de Sousa Agostinho,,,8C,8ºANO
2023/2024,EB Dr. António de Sousa Agostinho,,,8D,8ºANO
2023/2024,EB Dr. António de Sousa Agostinho,,,8E,8ºANO
2023/2024,EB Dr. António de Sousa Agostinho,,,9A,9ºANO
2023/2024,EB Dr. António de Sousa Agostinho,,,9B,9ºANO
2023/2024,EB Dr. António de Sousa Agostinho,,,9C,9ºANO
2023/2024,EB Dr. António de Sousa Agostinho,,19120;18532;18533;16202;16097;16344;16152;17495;18560;16311;16283;16274;16281;16794;16402;16375;18628;16383;16128;15999;16191;16302;16206,9D,9ºANO
2023/2024,EB Dr. António de Sousa Agostinho,,15746;18004;18945;15963;18452;18218;16493;16264;19121;16788;16498;16104;16381;16150;15895;18760;16305;18531;18919,9E,9ºANO
2023/2024,EB Dr. António de Sousa Agostinho,,,9F,9ºANO
